"sep=\t"
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
145.300	93.200	138.200	104.300	1.119
146.600	93.400	138.300	104.400	1.117
144.800	93.600	138.100	104.500	1.116
141.800	93.800	137.300	104.700	1.115
137.800	94.000	136.300	104.800	1.114
132.900	94.200	134.700	104.900	1.113
122.000	94.300	132.600	105.000	1.113
119.700	94.500	129.100	105.100	1.113
111.200	94.500	123.700	105.200	1.113
120.700	94.700	117.200	105.200	1.112
133.300	94.800	109.400	105.200	1.110
126.100	95.000	106.700	105.300	1.108
112.600	95.100	110.100	105.300	1.107
103.100	95.100	111.500	105.300	1.107
112.800	95.200	110.500	105.300	1.106
119.800	95.300	109.400	105.400	1.105
118.600	95.500	108.700	105.400	1.104
119.400	95.600	108.000	105.400	1.103
113.700	95.700	107.200	105.400	1.102
114.600	95.800	105.900	105.500	1.101
113.400	95.900	104.800	105.500	1.100
112.300	96.000	103.500	105.500	1.100
112.200	96.000	102.500	105.500	1.099
111.400	96.100	101.800	105.600	1.098
109.200	96.200	100.800	105.600	1.097
102.500	96.300	99.600	105.600	1.097
100.600	96.300	98.900	105.600	1.097
100.100	96.300	98.000	105.600	1.096
99.900	96.400	96.800	105.600	1.096
100.300	96.400	95.900	105.700	1.096
99.900	96.500	94.700	105.700	1.095
99.200	96.500	93.600	105.700	1.095
97.700	96.500	92.700	105.700	1.095
97.400	96.600	91.500	105.700	1.095
97.800	96.600	90.600	105.700	1.094
96.100	96.600	89.800	105.700	1.094
97.100	96.700	88.800	105.700	1.094
92.900	96.700	87.700	105.700	1.093
91.700	96.700	86.800	105.700	1.093
91.300	96.700	86.200	105.700	1.093
89.000	96.700	85.200	105.700	1.093
89.100	96.700	84.300	105.700	1.093
88.100	96.700	83.300	105.700	1.093
87.000	96.700	82.500	105.700	1.093
86.700	96.600	81.600	105.600	1.093
86.100	96.600	80.900	105.600	1.093
85.600	96.600	80.300	105.600	1.093
84.800	96.600	79.500	105.600	1.093
84.300	96.600	79.400	105.600	1.094
84.000	96.500	79.300	105.600	1.094
84.100	96.500	79.400	105.600	1.094
84.300	96.500	79.300	105.600	1.094
84.100	96.500	79.000	105.600	1.094
83.400	96.400	78.500	105.500	1.094
83.100	96.400	77.300	105.500	1.094
82.600	96.400	76.700	105.400	1.094
81.900	96.400	76.300	105.400	1.094
81.000	96.300	75.700	105.400	1.094
79.800	96.300	76.300	105.300	1.094
80.700	96.200	76.700	105.300	1.094
81.400	96.200	75.300	105.100	1.093
77.600	96.200	73.400	105.000	1.092
78.100	96.100	72.600	104.800	1.091
77.000	96.100	73.000	104.600	1.089
79.200	96.000	72.900	104.500	1.088
74.200	95.900	72.100	104.300	1.087
77.100	95.900	71.300	104.000	1.085
73.800	95.800	71.800	103.800	1.083
75.100	95.800	74.100	103.600	1.082
78.500	95.700	77.000	103.400	1.080
77.700	95.700	78.300	103.200	1.079
78.500	95.600	77.300	103.000	1.077
79.500	95.600	75.600	102.800	1.075
82.300	95.600	75.700	102.500	1.073
85.600	95.500	80.700	102.300	1.071
90.100	95.500	89.600	102.200	1.069
98.600	95.500	98.100	102.400	1.072
103.300	95.600	102.500	102.300	1.070
108.500	95.600	104.200	102.200	1.068
111.200	95.700	105.500	102.000	1.066
116.000	95.800	107.800	101.900	1.064
114.500	95.900	110.100	101.800	1.062
119.100	96.000	111.700	101.800	1.060
